"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
"2615" "萬海            " "7499953" "5975674" "1524279" "0" "0" "0" "169000" "0" "169000" "-360846" "240000" "565000" "-325000" "104154" "140000" "-35846" "1332433"
="03965P" "臺股指群益17售34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1330000" "0" "0" "0" "1350000" "20000" "1330000" "1330000"
"2010" "春源            " "1841000" "489000" "1352000" "0" "0" "0" "0" "0" "0" "-25998" "2" "2000" "-1998" "14000" "38000" "-24000" "1326002"
"9933" "中鼎            " "1694000" "391000" "1303000" "0" "0" "0" "25000" "0" "25000" "-2000" "0" "2000" "-2000" "0" "0" "0" "1326000"
"6770" "力積電          " "5212100" "3896599" "1315501" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1315501"
="055564" "富采兆豐16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1298000" "0" "0" "0" "3018000" "1720000" "1298000" "1298000"
="055664" "鈺齊凱基17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1285000" "0" "0" "0" "1344000" "59000" "1285000" "1285000"
="038972" "T50反1國票13購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1265000" "0" "0" "0" "1655000" "390000" "1265000" "1265000"
"8046" "南電            " "1730572" "893600" "836972" "0" "0" "0" "216000" "0" "216000" "201361" "309653" "111292" "198361" "21000" "18000" "3000" "1254333"
"2323" "中環            " "3097000" "1901000" "1196000" "0" "0" "0" "12000" "0" "12000" "14635" "70000" "4964" "65036" "1001" "51402" "-50401" "1222635"
="054092" "帆宣元大15購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1219000" "0" "0" "0" "1219000" "0" "1219000" "1219000"
="050303" "聯電麥證18購02  " "0" "0" "0" "1600000" "400000" "1200000" "0" "0" "0" "1200000" "0" "0" "0" "1600000" "400000" "1200000" "1200000"
="048008" "台積電元大1A購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1197000" "0" "0" "0" "1311000" "114000" "1197000" "1197000"
="062589" "長榮凱基1A購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1185000" "0" "0" "0" "1185000" "0" "1185000" "1185000"
"2069" "運錩            " "1704000" "554000" "1150000" "0" "0" "0" "0" "0" "0" "-3773" "227" "4000" "-3773" "0" "0" "0" "1146227"
="057584" "長榮統一18購10  " "1000" "0" "1000" "0" "0" "0" "0" "0" "0" "1136000" "0" "0" "0" "2782000" "1646000" "1136000" "1137000"
"3605" "宏致            " "1521001" "393000" "1128001" "0" "0" "0" "0" "0" "0" "1288" "2544" "1256" "1288" "0" "0" "0" "1129289"
="033072" "長榮凱基14購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1128000" "0" "0" "0" "1803000" "675000" "1128000" "1128000"
="046537" "天鈺元大14購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1112000" "0" "0" "0" "1142000" "30000" "1112000" "1112000"
"3042" "晶技            " "1311000" "353000" "958000" "0" "0" "0" "165000" "93000" "72000" "78016" "100016" "8000" "92016" "42000" "56000" "-14000" "1108016"
"8070" "長華*           " "1451000" "334000" "1117000" "0" "0" "0" "0" "0" "0" "-10718" "444" "1162" "-718" "12000" "22000" "-10000" "1106282"
"4906" "正文            " "2545000" "1452000" "1093000" "0" "0" "0" "0" "0" "0" "664" "0" "9336" "-9336" "92000" "82000" "10000" "1093664"
"1608" "華榮            " "1204000" "121000" "1083000" "0" "0" "0" "0" "0" "0" "9003" "3" "1000" "-997" "10000" "0" "10000" "1092003"
="03768P" "臺股指元大1B售05" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1086000" "0" "0" "0" "1413000" "327000" "1086000" "1086000"
"2617" "台航            " "2655000" "1604000" "1051000" "0" "0" "0" "0" "0" "0" "25399" "0" "5000" "-5000" "39000" "8601" "30399" "1076399"
"1612" "宏泰            " "1205000" "168000" "1037000" "0" "0" "0" "0" "0" "0" "39000" "0" "1000" "-1000" "53000" "13000" "40000" "1076000"
"1722" "台肥            " "2084032" "1156000" "928032" "0" "0" "0" "16000" "0" "16000" "122000" "86000" "46000" "40000" "203000" "121000" "82000" "1066032"
="040399" "大立光元富17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1059000" "0" "0" "0" "1060000" "1000" "1059000" "1059000"
="045602" "萬海元大13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1056000" "0" "0" "0" "1056000" "0" "1056000" "1056000"
="03716P" "臺股指中信1C售02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1051000" "0" "0" "0" "1089000" "38000" "1051000" "1051000"
="057211" "鴻海國泰18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1049000" "0" "0" "0" "2619000" "1570000" "1049000" "1049000"
="052113" "聯陽國票16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1043000" "0" "0" "0" "1348000" "305000" "1043000" "1043000"
"2017" "官田鋼          " "1141000" "99000" "1042000" "0" "0" "0" "0" "0" "0" "-3999" "1" "1000" "-999" "0" "3000" "-3000" "1038001"
"1760" "寶齡富錦        " "1810000" "869000" "941000" "0" "0" "0" "0" "0" "0" "85193" "0" "5000" "-5000" "113193" "23000" "90193" "1026193"
"3576" "聯合再生        " "1678000" "667000" "1011000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1011000"
="058855" "東鹼凱基17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1009000" "0" "0" "0" "1039000" "30000" "1009000" "1009000"
"3016" "嘉晶            " "1713000" "710000" "1003000" "0" "0" "0" "0" "0" "0" "1" "1" "1000" "-999" "17000" "16000" "1000" "1003001"
="042534" "臺股指國票13購07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1000000" "0" "0" "0" "1320000" "320000" "1000000" "1000000"
